Question,Answer 1 (correct),Answer 2,Answer 3,"Difficulty (type specifically Easy, Medium, Hard)",
Batman est plus (Blank) que Superman ,intelligent,intelligente,intelligence,Easy,
Superman est plus (blank) que Batman,Comique,Drôle,Drôlee,Easy,
Aquaman est (blank) fort que Wonder women,Moin,Meullieur,Meullieureuse,Medium,
Batman est plus (blank) que Superman,Silencieux,Silencieusement,Silencieuse,Medium,
Superman est plus (blank) que Batman,Fort,Forteses,Fortu,Medium,
Thor est plus (blank) que Captain America,Grand,Grandes,Grande,Easy,
Wonder Woman est plus (blank) que intelligente,Belle,Beau,Balle,Easy,
Aquaman nage (blank) que batman,Mieux,Moins,Meiux,Medium,
Superman est plus (blank) que Batman,Puissant,Puisson,Poissant,Medium,
Wonder Women sont (blank) intéressantes que Superman,Plus,Pluse,Plu,Easy
